Restaurant,City,State,Item,Price,Image
Sweet Leaf - DC,Washington,DC,Falafel Tzatziki (remix),$12.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9091000000000000/menu/items/7/item-100000000046156067_1703084218.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Big Fin (new),$14.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/6/item-100000036588558626_1702523595.png?size=medium
Sweet Leaf - DC,Washington,DC,Brussel + Pear (seasonal),$13.50,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9091000000000000/menu/items/8/item-100000016271453468_1703082923.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Citrus Sesame Chicken,$12.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/6/item-100000000046157006_1657123275.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Steak Taco,$13.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/3/item-100000004623021833_1657122635.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Spicy Avocado,$13.29,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/0/item-100000000046157000_1657053883.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Pesto Chicken,$13.79,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/8/item-100000000046156248_1657054038.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Kale Kobb,$13.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/2/item-100000000046157002_1657123356.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Chicken Caesar,$13.29,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/6/item-100000000046156246_1657123420.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Greek Roots (remix),$13.79,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-20782000000000000/menu/items/7/item-100000002857156857_1703102898.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Tofu Tango (remix),$12.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-20782000000000000/menu/items/8/item-100000005135371838_1703102934.png?size=medium
Sweet Leaf - DC,Washington,DC,Hamwich (new),$12.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/5/item-100000036624952845_1702612196.jpg?size=medium
Sweet Leaf - DC,Washington,DC,So Cali Club,$12.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/6/item-100000004795346266_1657054606.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Turkey + Apple,$12.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/8/item-100000004623123258_1657054587.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Caprese,$11.99,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/4/item-100000004795299964_1657128290.jpg?size=medium
